ID,RA[hr],Dec[deg],dist[pc],rhm[pc],mass[Msun],age[Myr],[Fe/H],sigma_v0_z[km/s],OpSimID,OpSimRA[deg],OpSimDec[deg]
C_1749-295,17 52 44.160,-29 32 13.200,5235.866666666667,3.6433507027832235,25.75,75.85775750291836,-0.4974174718196457,0.07642414152135353,1322.0,266.892152,-29.966329
NGC_2587,08 23 26.640,-29 30 10.800,2830.6,3.1415500757019688,38.0,501.1872336272715,-0.4974174718196457,0.09997979595787242,1303.0,126.044736,-30.452774
ESO_428-24,07 22 56.160,-29 30 07.200,3167.65,1.5255884831280848,861.5,669.7266666666667,-0.4974174718196457,0.6831268906481169,1317.0,111.217914,-30.352921
C_1725-294,17 28 30.240,-29 29 13.200,2022.76,1.2845272921440214,504.5361863444342,178.56832317853028,-0.4974174718196457,0.5697271725286635,1364.0,260.714806,-28.778643
ESO_426-33,06 42 05.000,-29 26 42.000,1259.0,0.6827305898501317,15.5,1258.9254117941662,-0.4974174718196457,0.13697257151308637,1365.0,99.285194,-28.778643
[KPS2012]_MWSC_1731,09 56 38.000,-29 26 42.000,2255.0,0.7196349460582468,6.5,891.2509381337442,-0.4974174718196457,0.08639587292485151,1381.0,150.427013,-28.759814
ESO_442-4,12 34 05.000,-29 24 00.000,1585.0,1.4392698921164937,24.0,3981.0717055349687,-0.4974174718196457,0.11738887530922114,1366.0,188.714811,-28.778642
ESO_437-61,10 48 02.000,-29 23 42.000,2409.0,5.609462143633515,7.0,630.9573444801944,-0.4974174718196457,0.03211299786315718,1311.0,161.955232,-30.452701
ESO_447-29,14 37 21.000,-29 23 42.000,1634.0,1.4392698921164937,13.5,3162.2776601683795,-0.4974174718196457,0.08804165648191584,1354.0,219.218782,-28.888658
ESO_464-9,20 59 37.000,-29 23 42.000,1031.0,0.4244000963933249,5.0,3981.0717055349687,-0.4974174718196457,0.0986710401444713,1370.0,315.2852,-28.778579
