ID,RA[hr],Dec[deg],dist[pc],rhm[pc],mass[Msun],age[Myr],[Fe/H],sigma_v0_z[km/s],OpSimID,OpSimRA[deg],OpSimDec[deg]
Terzan 12,18 12 15.8,-22 44 31,4800.0,1.047197567810901,8185.213194600227,11081.82198660714,-0.5,2.541517629188713,1642.0,272.64875,-22.338083
NGC 6569,18 13 38.80,-31 49 36.8,10900.0,2.536545225353292,370706.3246829629,11081.82198660714,-0.76,10.989707512416889,1292.0,273.239485,-30.864198
BH 261,18 14 06.6,-28 38 06,6500.0,1.0399253548527105,8570.970407948811,11081.82198660714,-1.3,2.609794763750903,1412.0,272.09816,-27.883556
GLIMPSE02,18 18 30.5,-16 58 38,5500.0,1.9864890595254516,236853.03103705606,11081.82198660714,-0.33,9.926332664506011,1880.0,275.825508,-17.257164
NGC 6584,18 18 37.60,-52 12 56.8,13500.0,2.866703339488995,215293.04272596745,10227.67857142857,-1.5,7.878001565619143,538.0,275.349934,-52.971699
NGC 6624,18 23 40.51,-30 21 39.7,7900.0,1.884373851474175,179072.95310991915,11755.95238095238,-0.44,5.4,1274.0,276.47302,-31.197795
NGC 6626,18 24 32.81,-24 52 11.2,5500.0,3.151774085892638,331917.3814875126,11081.82198660714,-1.32,8.6,1507.0,277.049231,-25.626772
NGC 6638,18 30 56.10,-25 29 50.9,9400.0,1.3945180825739367,127359.10418158349,11081.82198660714,-0.95,8.687510928299687,1507.0,277.049231,-25.626772
NGC 6637,18 31 23.10,-32 20 53.1,8800.0,2.1502456812504973,205603.2596252949,12343.749999999998,-0.64,8.88921472340545,1274.0,276.47302,-31.197795
NGC 6642,18 31 54.10,-23 28 30.7,8100.0,1.720022003693397,83373.8766940671,11081.82198660714,-1.26,6.329077848538367,1618.0,278.747132,-22.994067
NGC 6652,18 35 45.63,-32 59 26.6,10000.0,1.3962634106690883,83373.8766940671,12108.630952380947,-0.81,7.024634951964539,1160.0,277.791555,-34.120194
NGC 6656,18 36 23.94,-23 54 17.1,3200.0,3.127631015495258,453972.97037676524,11520.833333333332,-1.7,7.8,1618.0,278.747132,-22.994067
Pal 8,18 41 29.9,-19 49 33,12800.0,2.1595540816247456,28908.795414918564,11081.82198660714,-0.37,3.3260241378580426,1735.0,280.355913,-20.363325
NGC 6681,18 43 12.76,-32 17 31.6,9000.0,1.8587756798025914,127359.10418158349,11873.511904761903,-1.62,5.2,1270.0,279.739984,-31.450912
GLIMPSE01,18 48 49.7,-01 29 50,4200.0,0.7941248191208039,41785.92261708082,11081.82198660714,-1.2671710526315787,6.594214260919662,2549.0,281.722563,-2.141012
NGC 6712,18 53 04.30,-08 42 22.0,6900.0,2.669481224112112,180729.89474446047,11081.82198660714,-1.02,4.3,2199.0,283.385849,-9.85417
